Spacecraft,Spacecraft.1,Organization,Date,Type,Status,Notes,Image,Ref,Destination,Target
Venera 6,Venera 6,(USSR),17 May 1969,atmospheric probe,success,"transmitted atmospheric data for 51 minutes, to an altitude of perhaps 10–12 km",,1969-002A,Venus,
Cosmos 359,Cosmos 359,(USSR),22 August 1970,lander?,failure,failed to escape Earth orbit,,1970-065A,Venus,
Venera 7,Venera 7,(USSR),15 December 1970,lander,success,first successful landing on another planet; signals returned from surface for 23 minutes,,1970-060A,Venus,
Cosmos 482,Cosmos 482,(USSR),31 March 1972,lander?,failure,failed to escape Earth orbit,,1972-023A,Venus,
Venera 8,Venera 8,(USSR),22 July 1972,lander,success,signals returned from surface for 50 minutes,,1972-021A,Venus,
Mariner 10,Mariner 10,NASA,5 February 1974,flyby,success,"minimum distance 5768 km, en route to Mercury; first use of gravity assist by an interplanetary spacecraft",,1973-085A,Venus,
Venera 9,Venera 9,(USSR),1975,orbiter,success,first spacecraft to orbit Venus; communications relay for lander; atmospheric and magnetic studies,,1975-050A,Venus,
Venera 9,Venera 9,(USSR),22 October 1975,lander,success,first images from the surface; operated on surface for 53 minutes,,1975-050D,Venus,
Venera 10,Venera 10,(USSR),1975,orbiter,success,communications relay for lander; atmospheric and magnetic studies,,1975-054A,Venus,
Venera 10,Venera 10,(USSR),23 October 1975,lander,success,transmitted from surface for 65 minutes,,1975-054D,Venus,
Pioneer Venus Orbiter,Pioneer Venus Orbiter,NASA,4 December 1978 –1992,orbiter,success,atmospheric and magnetic studies,,1978-051A,Venus,
Pioneer Venus Multiprobe,Pioneer Venus Multiprobe,NASA,9 December 1978,,,,,,Venus,
Venera 12,Venera 12,SAS,,,,,,,Venus,
Venera 11,Venera 11,SAS,,,,identical to Venera 12,,,Venus,
Venera 13,Venera 13,SAS,,,,,,,Venus,
Venera 14,Venera 14,SAS,,,,identical to Venera 13,,,Venus,
Venera 15,Venera 15,SAS,1983–1984,orbiter,success,radar mapping,,1983-053A,Venus,
Venera 16,Venera 16,SAS,1983–1984,orbiter,success,radar mapping; identical to Venera 15,,1983-054A,Venus,
Vega 1,Vega 1,SAS,11 June 1985,flyby,success,went on to fly by Halley's comet,,1984-125A,Venus,
Vega 1,Vega 1,SAS,11 June 1985,lander,failure,instruments deployed prematurely,,1984-125E,Venus,
Vega 1,Vega 1,SAS,11 June 1985,atmospheric balloon,success,floated at an altitude of about 54 km and transmitted for around 46 hours,,1984-125F,Venus,
Vega 2,Vega 2,SAS,15 June 1985,flyby,success,went on to fly by Halley's comet,,1984-128A,Venus,
Vega 2,Vega 2,SAS,15 June 1985,lander,success,transmitted from surface for 56 minutes,,1984-128E,Venus,
Vega 2,Vega 2,SAS,15 June 1985,atmospheric balloon,success,floated at an altitude of about 54 km and transmitted for around 46 hours,,1984-128F,Venus,
Galileo,Galileo,NASA,10 February 1990,flyby,success,"gravity assist en route to Jupiter; minimum distance 16,000 km",,1989-084B,Venus,
Magellan,Magellan,NASA,10 August 1990 –12 October 1994,orbiter,success,global radar mapping,,1989-033B,Venus,
Cassini,Cassini,NASA/  ESA/ ASI,26 April 1998,flyby,success,gravity assist en route to Saturn,,1997-061A,Venus,
Cassini,Cassini,NASA/  ESA/ ASI,24 June 1999,flyby,success,gravity assist en route to Saturn,,1997-061A,Venus,
Venus Express,Venus Express,ESA,11 April 2006 – 18 January 2015,orbiter,success,atmospheric studies; planetary imaging; magnetic observations,,2005-045A,Venus,
MESSENGER,MESSENGER,NASA,24 October 2006,flyby,success,gravity assist only; minimum distance 2990 km,,2004-030A,Venus,
MESSENGER,MESSENGER,NASA,6 June 2007,flyby,success,minimum distance 300 km; en route to Mercury,,2004-030A,Venus,
Akatsuki(PLANET-C),Akatsuki(PLANET-C),JAXA,6 December 2010 (Venus flyby),orbiter,failure,failed orbital insertion in 2010; success in 2015science mission ongoing since May 2016,,2010-020D,Venus,
Akatsuki(PLANET-C),Akatsuki(PLANET-C),JAXA,7 December 2015 (orbital insertion) –,orbiter,success,failed orbital insertion in 2010; success in 2015science mission ongoing since May 2016,,2010-020D,Venus,
IKAROS,IKAROS,JAXA,8 December 2010,flyby,success,solar sail technology development / interplanetary space exploration,,2010-020E,Venus,
Shin'en(UNITEC-1),Shin'en(UNITEC-1),UNISEC,December 2010?,flyby,failure,contact lost shortly after launch,,2010-020F,Venus,
Parker Solar Probe,Parker Solar Probe,NASA,October 2018 – November 2024,flyby (approach 7 times),en route,gravity assist en route to solar corona,,2018-065A,Venus,
BepiColombo(first pass),BepiColombo(first pass),ESA/ JAXA,15 October 2020,flyby,success,"gravity assist en route to Mercury; minimum approach distance was about 10,720 km",,2018-080A,Venus,
Solar Orbiter,Solar Orbiter,ESA,27 December 2020,flyby,success,gravity assist en route to inclined heliocentric orbit for solar polar observations,,2020-010A,Venus,
Solar Orbiter,Solar Orbiter,ESA,9 August 2021,flyby,success,gravity assist en route to inclined heliocentric orbit for solar polar observations,,2020-010A,Venus,
BepiColombo(second pass),BepiColombo(second pass),ESA/ JAXA,10 August 2021,flyby,success,"gravity assist en route to Mercury, during which it may study Venus' atmosphere and solar environment",,2018-080A,Venus,
Solar Orbiter,Solar Orbiter,ESA,September 2022,flyby,en route,gravity assist en route to inclined heliocentric orbit,,2020-010A,Venus,
Solar Orbiter,Solar Orbiter,ESA,February 2025,flyby,en route,gravity assist en route to inclined heliocentric orbit,,2020-010A,Venus,
JUICE,JUICE,ESA,August 2025,flyby,Enroute,gravity assist en route to Jupiter,,,Venus,
Solar Orbiter,Solar Orbiter,ESA,December 2026,flyby,en route,gravity assist en route to inclined heliocentric orbit,,2020-010A,Venus,
Rocket Lab's Venus probe,Rocket Lab's Venus probe,MIT/Rocket Lab,30 December 2024,atmospheric probe,under development,To search for organic molecules in the Venusian cloud particles and constrain the particle composition.,,,Venus,
Venus Orbiter Mission,Venus Orbiter Mission,ISRO,December 2024,"orbiter, atmospheric balloon",under development,To study the Venusian atmosphere and conduct geological mapping.,,,Venus,
Venera-D,Venera-D,RKA,2029,"orbiter, lander",proposed,,,,Venus,
Dragonfly,Dragonfly,NASA,2027,flyby,planned,gravity assist en route to Titan,,,Venus,
Solar Orbiter,Solar Orbiter,ESA,March 2028,flyby,proposed,mission extension,,2020-010A,Venus,
Solar Orbiter,Solar Orbiter,ESA,June 2029,flyby,proposed,mission extension,,2020-010A,Venus,
Solar Orbiter,Solar Orbiter,ESA,September 2030,flyby,proposed,mission extension,,2020-010A,Venus,
DAVINCI+,DAVINCI+,NASA,2028-2030,atmospheric probe,planned,,,,Venus,
Tianwen-4,Tianwen-4,CNSA,April 2030,flyby,proposed,gravity assist en route to Jupiter,,,Venus,
VERITAS,VERITAS,NASA,NET 2031,orbiter,planned,,,,Venus,
EnVision,EnVision,ESA,2034,orbiter,planned,,,,Venus,
Venus In Situ Explorer,Venus In Situ Explorer,NASA,TBD,lander or airplane,proposed,,,,Venus,
Mars 1M No.1,Mars 1M No.1,USSR,10 October 1960,flyby,failure,failed to reach Earth orbit,,MARSNK1,Mars,
Mars 1M No.2,Mars 1M No.2,USSR,14 October 1960,flyby,failure,failed to reach Earth orbit,,MARSNK2,Mars,
Mars 1962A,Mars 1962A,USSR,24 October 1962,flyby,failure,exploded in or en route to Earth orbit,,1962-057A,Mars,
Mars 1962B,Mars 1962B,USSR,11 November 1962 (launch),lander,failure,broke up during transfer to Mars trajectory,,1962-062A,Mars,
Mars 1,Mars 1,USSR,19 June 1963,flyby,failure,"contact lost en route; flew within approximately 193,000 km of Mars",,1962-061A,Mars,
Mariner 3,Mariner 3,NASA,5 November 1964,flyby,failure,"protective shield failed to eject, preventing craft from attaining correct trajectory",,1964-073A,Mars,
Mariner 4,Mariner 4,NASA,15 July 1965,flyby,success,first close-up images of Mars,,1964-077A,Mars,
Zond 2,Zond 2,USSR,6 August 1965,flyby,failure,"contact lost en route; flew within 1,500 km of Mars",,1964-078C,Mars,
Mariner 6,Mariner 6,NASA,31 July 1969,flyby,success,,,1969-014A,Mars,
Mariner 7,Mariner 7,NASA,5 August 1969,flyby,success,,,1969-030A,Mars,
Mars 1969A,Mars 1969A,USSR,27 March 1969 (launch),orbiter,failure,launch failure,,MARS69A,Mars,
Mars 1969B,Mars 1969B,USSR,2 April 1969 (launch),orbiter,failure,launch failure,,MARS69B,Mars,
Mariner 8,Mariner 8,NASA,9 May 1971 (launch),orbiter,failure,launch vehicle failure,,MARINH,Mars,
Kosmos 419,Kosmos 419,USSR,10 May 1971 (launch),orbiter,failure,failed to escape Earth orbit,,1971-042A,Mars,
Mariner 9,Mariner 9,NASA,14 November 1971 –27 October 1972,orbiter,success,first spacecraft to orbit another planet,,1971-051A,Mars,
Mars 2,Mars 2,USSR,27 November 1971 –22 August 1972,orbiter,success,first Soviet spacecraft to orbit another planet,,1971-045A,Mars,
Mars 3,Mars 3,USSR,2 December 1971 –22 August 1972,orbiter,partial success,attained a different orbit than intended due to insufficient fuel,,1971-049A,Mars,
Mars 4,Mars 4,USSR,10 February 1974,orbiter,failure,"orbit insertion failed, became flyby",,1973-047A,Mars,
Mars 5,Mars 5,USSR,12 February 1974 –28 February 1974,orbiter,success,,,1973-049A,Mars,
Mars 6,Mars 6,USSR,12 March 1974,flyby,success,,,1973-052A,Mars,
Mars 7,Mars 7,USSR,9 March 1974,flyby,success,,,1973-053A,Mars,
Viking 1 Orbiter,Viking 1 Orbiter,NASA,19 June 1976 –17 August 1980,orbiter,success,,,1975-075A,Mars,
Viking 2 Orbiter,Viking 2 Orbiter,NASA,7 August 1976 –25 July 1978,orbiter,success,,,1975-083A,Mars,
Phobos 1,Phobos 1,USSR,7 July 1988 (launch),orbiter,failure,contact lost en route to Mars,,1988-058A,Mars,
Phobos 2,Phobos 2,USSR,29 January 1989 –27 March 1989,orbiter,partial success,"Mars orbit acquired, but contact lost shortly before Phobos approach phase and deployment of Phobos landers",,1988-059A,Mars,
Mars Observer,Mars Observer,NASA,25 September 1992 (launch),orbiter,failure,contact lost shortly before Mars orbit insertion,,1992-063A,Mars,
Mars 96,Mars 96,RKA,16 November 1996 (launch),orbiter,failure,failed to escape Earth orbit,,1996-064A,Mars,
Mars 96,Mars 96,RKA,16 November 1996 (launch),lander,failure,failed to escape Earth orbit,,MARS96B,Mars,
Mars 96,Mars 96,RKA,16 November 1996 (launch),lander,failure,failed to escape Earth orbit,,MARS96C,Mars,
Mars 96,Mars 96,RKA,16 November 1996 (launch),penetrator,failure,failed to escape Earth orbit,,MARS96D,Mars,
Mars 96,Mars 96,RKA,16 November 1996 (launch),penetrator,failure,failed to escape Earth orbit,,MARS96E,Mars,
Mars Pathfinder,Mars Pathfinder,NASA,4 July 1997 –27 September 1997,lander,success,,,1996-068A,Mars,
Mars Global Surveyor,Mars Global Surveyor,NASA,12 September 1997 –2 November 2006,orbiter,success,,,1996-062A,Mars,
Mars Climate Orbiter,Mars Climate Orbiter,NASA,23 September 1999,orbiter,failure,Mars orbit insertion failed due to navigation error. Part of Mars Surveyor '98.,,1998-073A,Mars,
Mars Polar Lander,Mars Polar Lander,NASA,3 December 1999,lander,failure,Contact lost just prior to entering Martian atmosphere. Part of Mars Surveyor '98.,,1999-001A,Mars,
2001 Mars Odyssey,2001 Mars Odyssey,NASA,24 October 2001 –,orbiter,success,studying climate and geology; communications relay for Spirit and Opportunity rovers  longest surviving spacecraft in orbit around a planet other than Earth,,2001-014A,Mars,
Nozomi,Nozomi,ISAS,14 December 2003,orbiter,failure,"failed to attain Mars orbit, became flyby",,1998-041A,Mars,
Mars Express,Mars Express,ESA,25 December 2003 –,orbiter,success,surface imaging and mapping; first European probe in Martian orbit,,2003-022A,Mars,
"Mars Exploration Rover-A ""Spirit""","Mars Exploration Rover-A ""Spirit""",NASA,4 January 2004 – 22 March 2010,rover,success,became stuck in May 2009; then operating as a static science station until contact lost in March 2010,,2003-027A,Mars,
"Mars Exploration Rover-B ""Opportunity""","Mars Exploration Rover-B ""Opportunity""",NASA,25 January 2004 – 10 June 2018,rover,success,lost contact 10 June 2018 due to 2018 global dust storm. NASA concluded mission on 13 February 2019 after failed communication attempts since August 2018.,,2003-032A,Mars,
Mars Reconnaissance Orbiter,Mars Reconnaissance Orbiter,NASA,10 March 2006 –,orbiter,success,surface imaging and surveying,,2005-029A,Mars,
Rosetta,Rosetta,ESA,25 February 2007,flyby,success,gravity assist en route to asteroid and comet encounters,,2004-006A,Mars,
Phoenix,Phoenix,NASA,25 May 2008 –10 November 2008,lander,success,collection of soil samples near the northern pole to search for water and investigate Mars' geological history and biological potential,,2007-034A,Mars,
Dawn,Dawn,NASA,17 February 2009,flyby,success,gravity assist en route to Vesta and Ceres,,2007-043A,Mars,
Fobos-Grunt,Fobos-Grunt,RKA,8 November 2011 (launch),orbiter and Phobos sample return,failure,failed to escape Earth orbit,,2011-065A,Mars,
Mars Science Laboratory Curiosity,Mars Science Laboratory Curiosity,NASA,6 August 2012 –,rover,success,"investigation of past and present habitability, climate and geology",,2011-070A,Mars,
Mangalyaan / Mars Orbiter Mission,Mangalyaan / Mars Orbiter Mission,ISRO,24 September 2014 – 27 September 2022,orbiter,success,"first Indian spacecraft to orbit another planet, studying Martian atmosphere; mineralogical mapping.",,2013-060A,Mars,
MAVEN,MAVEN,NASA,25 September 2014 –,orbiter,success,studying Martian atmosphere,,2013-063A,Mars,
ExoMars Trace Gas Orbiter (ExoMars 2016),ExoMars Trace Gas Orbiter (ExoMars 2016),ESA/  RKA,19 October 2016 –,orbiter,success,atmospheric gas analysis; communication relay for surface probes,,2016-017A,Mars,
InSight,InSight,NASA,26 November 2018 – 21 December 2022,lander,success,"studied the deep interior of Mars, with a seismometer and a heat-flow probe.",,2018-042A,Mars,
Emirates Mars Mission,Emirates Mars Mission,MBRSC,9 February 2021 –,orbiter,in orbit,conduct studies of Martian atmosphere,,2020-047A,Mars,
Tianwen-1 orbiter,Tianwen-1 orbiter,CNSA,10 February 2021 -,orbiter,in orbit,"orbital studies of Martian surface morphology, soil, and atmosphere",,2020-049A,Mars,
Mars 2020 Perseverance,Mars 2020 Perseverance,NASA,18 February 2021 -,rover,landed,"investigate past and present habitability, climate, and geology; produce O2 from CO2; collect samples for Mars Sample Return Mission",,2020-052A,Mars,
Psyche,Psyche,NASA,13 October 2023 (launch)May 2026 (flyby),flyby,enroute,gravity assist en route to Psyche,,,Mars,
Martian Moons Exploration (MMX),Martian Moons Exploration (MMX),JAXA,2024 (launch)  Mid-2025 (arrival),orbiter,planned,monitoring Martian climate,,,Mars,
Tianwen-2 (ZhengHe),Tianwen-2 (ZhengHe),CNSA,May 2025 (launch)  2028 (flyby),flyby,planned,gravity assist en route to 311P/PANSTARRS,,,Mars,
ExoMars Kazachok (ExoMars),ExoMars Kazachok (ExoMars),RKA /  ESA,NET 2026,lander,suspended,This mission is currently suspended due to sanctions against Russia during the 2022 Russian invasion of Ukraine.,,,Mars,
Mars Orbiter Mission 2,Mars Orbiter Mission 2,ISRO,NET 2024,orbiter,planned,Orbital studies of Mars including Mars' ionosphere,,,Mars,
Mars 2026,Mars 2026,NASA,July 2026 (launch),rover,under study,,,,Mars,
Tianwen-3,Tianwen-3,CNSA,2028 (orbiter/return module)2028 (lander/ascent module)2031 (samples to earth),"orbiter/return module,lander/ascent module",planned,"Two spacecrafts: one consists of orbiter and return module, the other of lander, ascent module and a mobile sampling robot.",,,Mars,
NASA-ESA Mars Sample Return,NASA-ESA Mars Sample Return,NASA /  ESA,2027 (orbiter)2028 (lander)2033 (samples to earth),"orbiter, lander,ascent vehicle,2 autonomous UAV helicopters",planned,"lander carries ascent vehicle;  and 2 Ingenuity class helicopters, that fetch Perseverance samples",,,Mars,
Next Mars Orbiter (NeMO),Next Mars Orbiter (NeMO),NASA,Late 2020s,orbiter,under study,"Laser communications relay, high-resolution mapping",,,Mars,
Phobos 1,Phobos 1,USSR,7 July 1988 (launch),flyby,failure,contact lost en route to Mars,,1988-058A,Phobos,
Phobos 2,Phobos 2,USSR,27 March 1989 (contact lost),flyby,failure,attained Mars orbit; contact lost prior to deployment of lander,,1988-059A,Phobos,
Fobos-Grunt,Fobos-Grunt,RKA,8 November 2011 (launch),sample return,failure,failed to escape Earth orbit; launched with Yinghuo-1 Mars orbiter,,2011-065A,Phobos,
MMX,MMX,JAXA,2024 (launch)  2025 (arrival),sample return,planned,orbital insertion in 2025,,,Phobos,
Dawn,Dawn,NASA,6 March 2015 – 1 November 2018,orbiter,success,first spacecraft to orbit two different celestial bodies; previously visited Vesta,,2007-043A,Ceres,
Galileo,Galileo,NASA,29 October 1991,flyby,success,en route to Jupiter; minimum distance 1900 km,,1989-084B,Asteroid,951 Gaspra
Galileo,Galileo,NASA,28 August 1993,flyby,success,en route to Jupiter; minimum distance 2400 km; discovery of the first asteroid satellite Dactyl,,1989-084B,Asteroid,243 Ida
Clementine,Clementine,BMDO/ NASA,1994,flyby,failure,flyby cancelled due to equipment malfunction,,1994-004A,Asteroid,1620 Geographos
NEARShoemaker,NEARShoemaker,NASA,27 June 1997,flyby,success,flew within 1200 km of 253 Mathilde en route to 433 Eros,,1996-008A,Asteroid,253 Mathilde
NEARShoemaker,NEARShoemaker,NASA,January 1999,orbiter,failure,became flyby due to software and communications problems (later attempt at orbit insertion succeeded; see below),,1996-008A,Asteroid,433 Eros
Deep Space 1,Deep Space 1,NASA,29 July 1999,flyby,partial success,no close-up images due to camera pointing error; went on to visit comet 19P/Borrelly,,1998-061A,Asteroid,9969 Braille
Cassini,Cassini,NASA/ ESA/ ASI,23 January 2000,distant flyby,success,en route to Saturn,,1997-061A,Asteroid,2685 Masursky
NEARShoemaker,NEARShoemaker,NASA,February 2000 –February 2001,"orbiter, became lander",success,improvised landing by orbiter at end of mission,,1996-008A,Asteroid,433 Eros
Stardust,Stardust,NASA,2 November 2002,distant flyby,success,went on to visit comet 81P/Wild,,1999-003A,Asteroid,5535 Annefrank
Hayabusa,Hayabusa,ISAS,2005–07,sample return,success,2005: landed and collected dust grains.2010: sample returned.,,2003-019A,Asteroid,25143 Itokawa
New Horizons,New Horizons,NASA,June 2006,distant flyby,success,flew past Pluto successfully,,2006-001A,Asteroid,132524 APL
Rosetta,Rosetta,ESA,5 September 2008,flyby,success,en route to comet 67P/Churyumov–Gerasimenko,,2004-006A,Asteroid,2867 Šteins
Rosetta,Rosetta,ESA,11 July 2010,flyby,success,en route to comet 67P/Churyumov–Gerasimenko,,2004-006A,Asteroid,21 Lutetia
Dawn,Dawn,NASA,16 July 2011 – 5 September 2012,orbiter,success,first spacecraft to orbit two different celestial bodies; now orbiting Ceres,,2007-043A,Asteroid,4 Vesta
Chang'e 2,Chang'e 2,CNSA,13 December 2012,flyby,success,came within 3.2 km (2.0 mi) to Toutatis,,2010-050A,Asteroid,4179 Toutatis
PROCYON,PROCYON,University of Tokyo / JAXA,12 May 2016,flyby,failure,launched with Hayabusa2 in 2014; mission abandoned after ion thruster failure,,2014-076D,Asteroid,2000 DP107
Hayabusa2,Hayabusa2,JAXA,27 June 2018 – 13 November 2019,sample return,success,"asteroid rendezvous in June 2018, sample capture in 2019; returned sample to Earth on 5 December 2020",,2014-076A,Asteroid,162173 Ryugu
OSIRIS-REx,OSIRIS-REx,NASA,August 2018,sample return,orbiter/sample return/ flyby,"orbital insertion in 2018, sample capture in 2020, a flyby in 2021, return to Earth in 2023",,2016-055A,Asteroid,101955 Bennu
Deep Impact,Deep Impact,NASA,January 2020,flyby,failure,contact lost; previously visited comet 103P/Hartley,,2005-001A,Asteroid,2002 GT
DART,DART,NASA,26 September 2022,flyby/impactor,success,kinetic impactor of Dimorphos to test planetary defense,,2021-110A,Asteroid,65803 Didymos
